path	title	url
bpl/use-cases	Практические руководства	https://wiki.twin24.ai/ru/bpl/use-cases
bpl/use-cases/age-from-birthdate	Определение возраста клиента по дате рождения	https://wiki.twin24.ai/ru/bpl/use-cases/age-from-birthdate
bpl/use-cases/array-output	Вывод значений из массива	https://wiki.twin24.ai/ru/bpl/use-cases/array-output
bpl/use-cases/birthdate-check-bpl	Определение даты рождения до 1950 года	https://wiki.twin24.ai/ru/bpl/use-cases/birthdate-check-bpl
bpl/use-cases/callback-time-setting	Настройка времени перезвона	https://wiki.twin24.ai/ru/bpl/use-cases/callback-time-setting
bpl/use-cases/error_handling_bpl	Обработка ошибок BPL	https://wiki.twin24.ai/ru/bpl/use-cases/error_handling_bpl
bpl/use-cases/get-dialog-duration	Как получить длительность звонка во время звонка	https://wiki.twin24.ai/ru/bpl/use-cases/get-dialog-duration
bpl/use-cases/server-request-bpl	Запрос на сервер через BPL	https://wiki.twin24.ai/ru/bpl/use-cases/server-request-bpl
bpl/use-cases/string-title-bpl	Озаглавливание строки	https://wiki.twin24.ai/ru/bpl/use-cases/string-title-bpl
chats	Текстовые боты	https://wiki.twin24.ai/ru/chats
chats/api-chats	API	https://wiki.twin24.ai/ru/chats/api-chats
chats/api-chats/mailing-list-webhook	Вебхук для рассылок	https://wiki.twin24.ai/ru/chats/api-chats/mailing-list-webhook
chats/concepts	Концепции	https://wiki.twin24.ai/ru/chats/concepts
chats/concepts/exception-phrases	Фразы исключения	https://wiki.twin24.ai/ru/chats/concepts/exception-phrases
chats/concepts/integration-conditions	Условия создания интеграции	https://wiki.twin24.ai/ru/chats/concepts/integration-conditions
chats/concepts/mailing-statuses	Статусы рассылок	https://wiki.twin24.ai/ru/chats/concepts/mailing-statuses
chats/concepts/text-boots	О текстовых ботах	https://wiki.twin24.ai/ru/chats/concepts/text-boots
chats/instructions	Пошаговые инструкции	https://wiki.twin24.ai/ru/chats/instructions
chats/instructions/attributes	Добавление атрибутов и тегов в профиль компании	https://wiki.twin24.ai/ru/chats/instructions/attributes
chats/instructions/chat-dialogues	Работа с диалогами чата	https://wiki.twin24.ai/ru/chats/instructions/chat-dialogues
chats/instructions/chat-functions	Управление чатами	https://wiki.twin24.ai/ru/chats/instructions/chat-functions
chats/instructions/chat-settings	Настройки чата	https://wiki.twin24.ai/ru/chats/instructions/chat-settings
chats/instructions/creating-chat	Создание чата	https://wiki.twin24.ai/ru/chats/instructions/creating-chat
chats/instructions/message-templates	Управление шаблонами сообщений	https://wiki.twin24.ai/ru/chats/instructions/message-templates
chats/instructions/test-widget	Создание тестового виджета	https://wiki.twin24.ai/ru/chats/instructions/test-widget
chats/instructions/widget-styling	Внешний вид виджета	https://wiki.twin24.ai/ru/chats/instructions/widget-styling
chats/use-cases	Практические руководства	https://wiki.twin24.ai/ru/chats/use-cases
chats/use-cases/client-identification	Идентификация клиентов в чат-ботах	https://wiki.twin24.ai/ru/chats/use-cases/client-identification
chats/use-cases/conversation-chatbot	Создание справочного бота	https://wiki.twin24.ai/ru/chats/use-cases/conversation-chatbot
chats/use-cases/file-from-id	Получение файла по идентификатору	https://wiki.twin24.ai/ru/chats/use-cases/file-from-id
chats/use-cases/file-processing	Получение файла пользователя	https://wiki.twin24.ai/ru/chats/use-cases/file-processing
chats/use-cases/geolocation-processing	Обработка геопозиции в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/geolocation-processing
chats/use-cases/inactivity-reminder	Напоминание при неактивности в чате	https://wiki.twin24.ai/ru/chats/use-cases/inactivity-reminder
chats/use-cases/link-into-text	Кодировка ссылки в текст сообщений	https://wiki.twin24.ai/ru/chats/use-cases/link-into-text
chats/use-cases/max-notification	Отправка уведомления в MAX по API	https://wiki.twin24.ai/ru/chats/use-cases/max-notification
chats/use-cases/rename-chat-session	Смена названия чат-сессии перед переводом на оператора	https://wiki.twin24.ai/ru/chats/use-cases/rename-chat-session
chats/use-cases/telegram-access	Ограничение доступа к боту в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram-access
chats/use-cases/telegram-inline	Настройка inline-кнопок действий для MAX и Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram-inline
chats/use-cases/telegram-mailing	Рассылка сообщений в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram-mailing
chats/use-cases/telegram-reply-buttons	Создание кнопок ответа в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram-reply-buttons
chats/use-cases/telegram-send-photo	Отправка изображения с подписью в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram-send-photo
chats/use-cases/telegram-stickers	Отправка собственных стикеров в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram-stickers
chats/use-cases/telegram-video-notes	Отправка видео в кружочках в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram-video-notes
chats/use-cases/telegram_formatting	Разметка в Telegram	https://wiki.twin24.ai/ru/chats/use-cases/telegram_formatting
chats/use-cases/using-client-variables	Передача клиентских переменных в виджет	https://wiki.twin24.ai/ru/chats/use-cases/using-client-variables
chats/use-cases/waba-templates-approval	Утверждение шаблонов WhatsApp Business	https://wiki.twin24.ai/ru/chats/use-cases/waba-templates-approval
chats/use-cases/webapp-buttons-telegram	Создание inline-кнопок в Telegram для WebApp и ссылок	https://wiki.twin24.ai/ru/chats/use-cases/webapp-buttons-telegram
chats/use-cases/webhook-in-chats	Отправка вебхуков по текстовым ботам	https://wiki.twin24.ai/ru/chats/use-cases/webhook-in-chats
chats/use-cases/whatsapp-reply-buttons	Создание кнопок ответа в WhatsApp	https://wiki.twin24.ai/ru/chats/use-cases/whatsapp-reply-buttons
chats/use-cases/whatsapp-send-task	Рассылка уведомлений в WhatsApp по шаблонам	https://wiki.twin24.ai/ru/chats/use-cases/whatsapp-send-task
chats/use-cases/widget-adding	Размещение виджета на сайте	https://wiki.twin24.ai/ru/chats/use-cases/widget-adding
chats/use-cases/widget-settings	Расширенные настройки виджета	https://wiki.twin24.ai/ru/chats/use-cases/widget-settings
chats/use-cases/workingnotworking	Определение рабочего дня (ред)	https://wiki.twin24.ai/ru/chats/use-cases/workingnotworking
crm	CRM-системы	https://wiki.twin24.ai/ru/crm
crm/amocrm	amoCRM	https://wiki.twin24.ai/ru/crm/amocrm
crm/amocrm/faq	Интеграция amoCRM: Вопросы и ответы	https://wiki.twin24.ai/ru/crm/amocrm/faq
crm/amocrm/get-started	Начало работы amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/get-started
crm/amocrm/instructions	Пошаговые инструкции amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions
crm/amocrm/instructions/cancelling-call	Отмена обзвона amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/cancelling-call
crm/amocrm/instructions/chat-integration	Перевод диалогов в amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/chat-integration
crm/amocrm/instructions/dialogue-starting	Старт диалога в amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/dialogue-starting
crm/amocrm/instructions/duplicate-management	Контроль дубликатов AmoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/duplicate-management
crm/amocrm/instructions/end-dialogue-actions	Действия по окончании диалога в amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/end-dialogue-actions
crm/amocrm/instructions/handling-variables	Передача переменных из amoCRM в сценарий	https://wiki.twin24.ai/ru/crm/amocrm/instructions/handling-variables
crm/amocrm/instructions/salesbot	Настройка виджета в Salesbot	https://wiki.twin24.ai/ru/crm/amocrm/instructions/salesbot
crm/amocrm/instructions/start-sending	Запуск рассылки в amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/start-sending
crm/amocrm/instructions/template-import	Импорт шаблонов в amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/template-import
crm/amocrm/instructions/trigger-setting	Настройка триггера в воронке amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/instructions/trigger-setting
crm/amocrm/reference-guide	Справочник amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/reference-guide
crm/amocrm/reference-guide/possible-values	Возможные значения amoCRM	https://wiki.twin24.ai/ru/crm/amocrm/reference-guide/possible-values
crm/bitrix	Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix
crm/bitrix/faq	Интеграция Битрикс24: Вопросы и ответы	https://wiki.twin24.ai/ru/crm/bitrix/faq
crm/bitrix/get-started	Начало работы Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/get-started
crm/bitrix/instructions	Пошаговые инструкции	https://wiki.twin24.ai/ru/crm/bitrix/instructions
crm/bitrix/instructions/dialogue-starting	Старт диалога в Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/instructions/dialogue-starting
crm/bitrix/instructions/duplicate-management	Контроль дубликатов Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/instructions/duplicate-management
crm/bitrix/instructions/during-dialogue-action	Действия во время диалога Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/instructions/during-dialogue-action
crm/bitrix/instructions/end-dialogue-actions	Действия при окончании диалога в Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/instructions/end-dialogue-actions
crm/bitrix/instructions/handling-variables	Передача переменных из Битрикс24 в сценарий	https://wiki.twin24.ai/ru/crm/bitrix/instructions/handling-variables
crm/bitrix/instructions/integration-example	Пошаговый пример интеграции с Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/instructions/integration-example
crm/bitrix/instructions/link-lead-and-contact	Связывание лида и контакта Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/instructions/link-lead-and-contact
crm/bitrix/instructions/template-import	Импорт шаблонов в Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/instructions/template-import
crm/bitrix/reference-guide	Справочник	https://wiki.twin24.ai/ru/crm/bitrix/reference-guide
crm/bitrix/reference-guide/possible-values	Список статусов и ошибок приложения TWIN	https://wiki.twin24.ai/ru/crm/bitrix/reference-guide/possible-values
crm/bitrix/reference-guide/сonnections	Сетевые соединения приложения TWIN	https://wiki.twin24.ai/ru/crm/bitrix/reference-guide/сonnections
crm/bitrix/use-cases	Практические руководства	https://wiki.twin24.ai/ru/crm/bitrix/use-cases
crm/bitrix/use-cases/automation	Автоматизация действий в Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/use-cases/automation
crm/bitrix/use-cases/open-lines	Перевод диалога в открытые линии Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/use-cases/open-lines
crm/bitrix/use-cases/start-sending	Запуск рассылки Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/use-cases/start-sending
crm/bitrix/use-cases/welcome-message	Изменение приветственного текста в Битрикс24	https://wiki.twin24.ai/ru/crm/bitrix/use-cases/welcome-message
crm/megaplan	Megaplan	https://wiki.twin24.ai/ru/crm/megaplan
crm/moyklass	Мой Класс	https://wiki.twin24.ai/ru/crm/moyklass
crm/moyklass/setup	Инструкция по интеграции CRM Мой Класс	https://wiki.twin24.ai/ru/crm/moyklass/setup
crm/okocrm	OkoCRM	https://wiki.twin24.ai/ru/crm/okocrm
crm/okocrm/setup	Инструкция по интеграции OkoCRM	https://wiki.twin24.ai/ru/crm/okocrm/setup
crm/remarked	Remarked	https://wiki.twin24.ai/ru/crm/remarked
crm/remarked/setup	Инструкция по интеграции Remarked	https://wiki.twin24.ai/ru/crm/remarked/setup
crm/renovatio	Renovatio	https://wiki.twin24.ai/ru/crm/renovatio
crm/renovatio/setup	Инструкция по интеграции CRM Renovatio	https://wiki.twin24.ai/ru/crm/renovatio/setup
crm/sbercrm	SberCRM	https://wiki.twin24.ai/ru/crm/sbercrm
crm/sbercrm/setup	Инструкция по интеграции SberCRM	https://wiki.twin24.ai/ru/crm/sbercrm/setup
crm/yclients	YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients
crm/yclients/get-started	Начало работы YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/get-started
crm/yclients/instructions	Пошаговые инструкции	https://wiki.twin24.ai/ru/crm/yclients/instructions
crm/yclients/instructions/dialogue-starting	Старт диалога в YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/instructions/dialogue-starting
crm/yclients/instructions/end-dialogue-action	Действие по окончании диалога YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/instructions/end-dialogue-action
crm/yclients/instructions/handling-variables	Передача переменных из YCLIENTS в сценарий	https://wiki.twin24.ai/ru/crm/yclients/instructions/handling-variables
crm/yclients/instructions/template-import	Импорт шаблона YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/instructions/template-import
crm/yclients/reference-guide	Справочник YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/reference-guide
crm/yclients/reference-guide/possible-values	Возможные значения YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/reference-guide/possible-values
crm/yclients/use-cases	Практические руководства	https://wiki.twin24.ai/ru/crm/yclients/use-cases
crm/yclients/use-cases/calling	Обзвон клиентов YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/use-cases/calling
crm/yclients/use-cases/client-information-acquisition	Получение информации о клиенте из записи в YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/use-cases/client-information-acquisition
crm/yclients/use-cases/creating-record-BPL	Создание записи в YCLIENTS через BPL	https://wiki.twin24.ai/ru/crm/yclients/use-cases/creating-record-BPL
crm/yclients/use-cases/entry-confirmation	Уведомление о подтверждении записи YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/use-cases/entry-confirmation
crm/yclients/use-cases/telegram	Рассылка в Telegram из YCLIENTS	https://wiki.twin24.ai/ru/crm/yclients/use-cases/telegram
crm/yclients/use-cases/transfer-record-bpl	Перенос записи в YCLIENTS на другое время через BPL	https://wiki.twin24.ai/ru/crm/yclients/use-cases/transfer-record-bpl
fact-base	База фактов	https://wiki.twin24.ai/ru/fact-base
history	История обновлений	https://wiki.twin24.ai/ru/history
history/01082025	Релиз от 01.08.2025	https://wiki.twin24.ai/ru/history/01082025
history/02082024	Релиз от 02.08.2024	https://wiki.twin24.ai/ru/history/02082024
history/03022025	Релиз от 03.02.2025	https://wiki.twin24.ai/ru/history/03022025
history/03062025	Релиз от 03.06.2025	https://wiki.twin24.ai/ru/history/03062025
history/03072025	Релиз от 03.07.2025	https://wiki.twin24.ai/ru/history/03072025
history/04102024	Релиз от 04.10.2024	https://wiki.twin24.ai/ru/history/04102024
history/05092025	Релиз от 05.09.2025	https://wiki.twin24.ai/ru/history/05092025
history/05112024	Релиз от 05.11.2024	https://wiki.twin24.ai/ru/history/05112024
history/0602026	Релиз от 06.02.2026	https://wiki.twin24.ai/ru/history/0602026
history/06062025	Релиз от 06.06.2025	https://wiki.twin24.ai/ru/history/06062025
history/06082024	Релиз от 06.08.2024	https://wiki.twin24.ai/ru/history/06082024
history/06122024	Релиз от 06.12.2024	https://wiki.twin24.ai/ru/history/06122024
history/07022025	Релиз от 07.02.2025	https://wiki.twin24.ai/ru/history/07022025
history/07032025	Релиз от 07.03.2025	https://wiki.twin24.ai/ru/history/07032025
history/07052025	Релиз от 07.05.2025	https://wiki.twin24.ai/ru/history/07052025
history/07112025	Релиз от 07.11.2025	https://wiki.twin24.ai/ru/history/07112025
history/08082025	Релиз от 08.08.2025	https://wiki.twin24.ai/ru/history/08082025
history/09082024	Релиз от 09.08.2024	https://wiki.twin24.ai/ru/history/09082024
history/11072025	Релиз от 11.07.2025	https://wiki.twin24.ai/ru/history/11072025
history/12092025	Релиз от 12.09.2025	https://wiki.twin24.ai/ru/history/12092025
history/12122025	Релиз от 12.12.2025	https://wiki.twin24.ai/ru/history/12122025
history/13032026	Релиз от 13.03.2026	https://wiki.twin24.ai/ru/history/13032026
history/13052026	Релиз от 13.05.2026	https://wiki.twin24.ai/ru/history/13052026
history/13062024	Релиз от 13.06.2024	https://wiki.twin24.ai/ru/history/13062024
history/13092024	Релиз от 13.09.2024	https://wiki.twin24.ai/ru/history/13092024
history/14032025	Релиз от 14.03.2025	https://wiki.twin24.ai/ru/history/14032025
history/16042025	Релиз от 16.04.2025	https://wiki.twin24.ai/ru/history/16042025
history/16082024	Релиз от 16.08.2024	https://wiki.twin24.ai/ru/history/16082024
history/17102025	Релиз от 17.10.2025	https://wiki.twin24.ai/ru/history/17102025
history/18082025	Релиз от 18.08.2025	https://wiki.twin24.ai/ru/history/18082025
history/18102024	Релиз от 18.10.2024	https://wiki.twin24.ai/ru/history/18102024
history/19062026	Релиз от 19.06.2026	https://wiki.twin24.ai/ru/history/19062026
history/19092025	Релиз от 19.09.2025	https://wiki.twin24.ai/ru/history/19092025
history/20022026	Релиз от 20.02.2026	https://wiki.twin24.ai/ru/history/20022026
history/20052025	Релиз от 20.05.2025	https://wiki.twin24.ai/ru/history/20052025
history/20062025	Релиз от 20.06.2025	https://wiki.twin24.ai/ru/history/20062025
history/20092024	Релиз от 20.09.2024	https://wiki.twin24.ai/ru/history/20092024
history/20122024	Релиз от 20.12.2024	https://wiki.twin24.ai/ru/history/20122024
history/21022025	Релиз от 21.02.2025	https://wiki.twin24.ai/ru/history/21022025
history/21032025	Релиз от 21.03.2025	https://wiki.twin24.ai/ru/history/21032025
history/21042026	Релиз от 21.04.2026	https://wiki.twin24.ai/ru/history/21042026
history/22042025	Релиз от 22.04.2025	https://wiki.twin24.ai/ru/history/22042025
history/22052026	Релиз от 22.05.2026	https://wiki.twin24.ai/ru/history/22052026
history/22112024	Релиз от 22.11.2024	https://wiki.twin24.ai/ru/history/22112024
history/22122025	Релиз от 22.12.2025	https://wiki.twin24.ai/ru/history/22122025
history/23012026	Релиз от 23.01.2026	https://wiki.twin24.ai/ru/history/23012026
history/23052025	Релиз от 23.05.2025	https://wiki.twin24.ai/ru/history/23052025
history/23082024	Релиз от 23.08.2024	https://wiki.twin24.ai/ru/history/23082024
history/24012025	Релиз от 24.01.2025	https://wiki.twin24.ai/ru/history/24012025
history/24042026	Релиз от 24.04.2026	https://wiki.twin24.ai/ru/history/24042026
history/25042025	Релиз от 25.04.2025	https://wiki.twin24.ai/ru/history/25042025
history/25102024	Релиз от 25.10.2024	https://wiki.twin24.ai/ru/history/25102024
history/26092025	Релиз от 26.09.2025	https://wiki.twin24.ai/ru/history/26092025
history/27022025	Релиз от 27.02.2025	https://wiki.twin24.ai/ru/history/27022025
history/27062025	Релиз от 27.06.2025	https://wiki.twin24.ai/ru/history/27062025
history/28022025	Релиз от 28.02.2025	https://wiki.twin24.ai/ru/history/28022025
history/30082024	Релиз от 30.08.2024	https://wiki.twin24.ai/ru/history/30082024
history/31032026	Релиз от 31.03.2026	https://wiki.twin24.ai/ru/history/31032026
home	Документация	https://wiki.twin24.ai/ru/home
integration	Интеграции	https://wiki.twin24.ai/ru/integration
integration/avito	Интеграция Авито	https://wiki.twin24.ai/ru/integration/avito
integration/avito/functions	Работа бота в Авито	https://wiki.twin24.ai/ru/integration/avito/functions
integration/avito/setup	Инструкция по интеграции с Авито	https://wiki.twin24.ai/ru/integration/avito/setup
integration/avito/variables	Системные переменные для Авито	https://wiki.twin24.ai/ru/integration/avito/variables
integration/deactivating-integration	Отключение интеграции	https://wiki.twin24.ai/ru/integration/deactivating-integration
integration/faq	Интеграции: Вопросы и ответы	https://wiki.twin24.ai/ru/integration/faq
integration/fb-integration	Интеграция с Facebook	https://wiki.twin24.ai/ru/integration/fb-integration
integration/gpt-integration	Интеграция c GPT-4	https://wiki.twin24.ai/ru/integration/gpt-integration
integration/greenapi	Интеграция Green API	https://wiki.twin24.ai/ru/integration/greenapi
integration/hhru	Интеграция HH.ru	https://wiki.twin24.ai/ru/integration/hhru
integration/hhru/setup	Инструкция по интеграции HH.ru	https://wiki.twin24.ai/ru/integration/hhru/setup
integration/hhru/variables	Системные переменные для HH.ru	https://wiki.twin24.ai/ru/integration/hhru/variables
integration/instagram	Интеграция с Instagram	https://wiki.twin24.ai/ru/integration/instagram
integration/integration-360dialog	Интеграция с WhatsApp	https://wiki.twin24.ai/ru/integration/integration-360dialog
integration/integration-telegram	Интеграция чата с Telegram	https://wiki.twin24.ai/ru/integration/integration-telegram
integration/integration-yandex-alice	Интеграция с Яндекс Алисой	https://wiki.twin24.ai/ru/integration/integration-yandex-alice
integration/jivo	Интеграция Jivo	https://wiki.twin24.ai/ru/integration/jivo
integration/mango-ats-integration	Создание сотрудника для подключения с регистрацией АТС от Манго	https://wiki.twin24.ai/ru/integration/mango-ats-integration
